"Taxonomy"	"Sample"	"Abundance"
"Others"	"WT_BS"	5.86014045004185
"Others"	"DT_BS"	5.43140574051231
"Others"	"WT_Rhi_gl2"	3.75830916259854
"Others"	"WT_Rhi_rsl2rsl4"	2.79494735581859
"Others"	"DT_Rhi_gl2"	1.96204968666042
"Others"	"DT_Rhi_rsl2rsl4"	2.85574066487715
"Others"	"WT_En_gl2"	0.389417001435967
"Others"	"WT_En_rsl2rsl4"	0.400585712966826
"Others"	"DT_En_gl2"	0.539792903899846
"Others"	"DT_En_rsl2rsl4"	0.324451658633786
"Others"	NA	1.68839614620809
"Methylomirabilota"	"WT_BS"	3.09477981194732
"Methylomirabilota"	"DT_BS"	2.91382020587383
"Methylomirabilota"	"WT_Rhi_gl2"	0.987453055368869
"Methylomirabilota"	"WT_Rhi_rsl2rsl4"	0.906722615556325
"Methylomirabilota"	"DT_Rhi_gl2"	0.710512067044422
"Methylomirabilota"	"DT_Rhi_rsl2rsl4"	1.1857016586024
"Methylomirabilota"	"WT_En_gl2"	0.00400721298337007
"Methylomirabilota"	"WT_En_rsl2rsl4"	0
"Methylomirabilota"	"DT_En_gl2"	0.0495597215938447
"Methylomirabilota"	"DT_En_rsl2rsl4"	0.0477207082757755
"Methylomirabilota"	NA	0.544456668598312
"Myxococcota"	"WT_BS"	1.40074125705266
"Myxococcota"	"DT_BS"	1.57451014218114
"Myxococcota"	"WT_Rhi_gl2"	1.05350134142854
"Myxococcota"	"WT_Rhi_rsl2rsl4"	0.963362219209094
"Myxococcota"	"DT_Rhi_gl2"	0.501563422201359
"Myxococcota"	"DT_Rhi_rsl2rsl4"	0.711016442730005
"Myxococcota"	"WT_En_gl2"	0.592138773520139
"Myxococcota"	"WT_En_rsl2rsl4"	2.01954805200173
"Myxococcota"	"DT_En_gl2"	1.96969121102862
"Myxococcota"	"DT_En_rsl2rsl4"	1.91311240375386
"Myxococcota"	NA	1.37531486357199
"Verrucomicrobiota"	"WT_BS"	1.21907149534877
"Verrucomicrobiota"	"DT_BS"	0.666119187652966
"Verrucomicrobiota"	"WT_Rhi_gl2"	2.47828418935319
"Verrucomicrobiota"	"WT_Rhi_rsl2rsl4"	4.03319900693269
"Verrucomicrobiota"	"DT_Rhi_gl2"	1.02466279072478
"Verrucomicrobiota"	"DT_Rhi_rsl2rsl4"	1.20433551366666
"Verrucomicrobiota"	"WT_En_gl2"	0.53884852561092
"Verrucomicrobiota"	"WT_En_rsl2rsl4"	0.35833791209919
"Verrucomicrobiota"	"DT_En_gl2"	1.13234997403978
"Verrucomicrobiota"	"DT_En_rsl2rsl4"	0.647489008315813
"Verrucomicrobiota"	NA	1.41015417702388
"Chloroflexi"	"WT_BS"	3.41153299193178
"Chloroflexi"	"DT_BS"	4.64212216467376
"Chloroflexi"	"WT_Rhi_gl2"	1.75704799973834
"Chloroflexi"	"WT_Rhi_rsl2rsl4"	1.64216862720059
"Chloroflexi"	"DT_Rhi_gl2"	0.944404962606241
"Chloroflexi"	"DT_Rhi_rsl2rsl4"	1.02579783641014
"Chloroflexi"	"WT_En_gl2"	0.754754283813798
"Chloroflexi"	"WT_En_rsl2rsl4"	0.761949399111723
